         ps       /tb_hybrid_control/HC_inst/i_vC    /tb_hybrid_control/HC_inst/z2       /tb_hybrid_control/HC_half_inst/z2                                          
          delta          /tb_hybrid_control/HC_inst/i_iC        /tb_hybrid_control/HC_inst/jump   /tb_hybrid_control/HC_half_inst/jump_1                             
                                        /tb_hybrid_control/HC_inst/z1       /tb_hybrid_control/HC_half_inst/z1    /tb_hybrid_control/HC_half_inst/sigma              
                                                                 /tb_hybrid_control/HC_inst/sigma              /tb_hybrid_control/HC_half_inst/jump_2                
          0  +0                                 x      x            x            x            x 0            x            x            x            x 0 
   10100000  +1                              -257  -8186         1709        -8186      8189418 0         1709        -8186      8189418      1692628 0 
   10200000  +1                              -514  -8174         1452        -8174      8176904 0         1452        -8174      8176904      1435652 0 
   10300000  +1                              -770  -8154         1196        -8154      8156392 0         1196        -8154      8156392      1179692 0 
   10400000  +1                             -1026  -8126          940        -8126      8127880 0          940        -8126      8127880       923748 0 
   10500000  +1                             -1281  -8090          685        -8090      8091370 0          685        -8090      8091370       668820 0 
   10600000  +1                             -1534  -8045          432        -8045      8045864 0          432        -8045      8045864       415910 0 
   10700000  +1                             -1786  -7993          180        -7993      7993360 0          180        -7993      7993360       164014 0 
   10800000  +1                             -2037  -7933          -71        -7933      7932858 0          -71        -7933      7932858       -86866 0 
   10900000  +1                             -2285  -7865         -319        -7865      7864362 0         -319        -7865      7864362      -334730 0 
   11000000  +1                             -2531  -7790         -565        -7790      7788870 0         -565        -7790      7788870      -580580 0 
   11100000  +1                             -2774  -7706         -808        -7706      7704384 0         -808        -7706      7704384      -823412 0 
   11200000  +1                             -3015  -7615        -1049        -7615      7612902 0        -1049        -7615      7612902     -1064230 0 
   11300000  +1                             -3253  -7517        -1287        -7517      7514426 0        -1287        -7517      7514426     -1302034 0 
   11400000  +1                             -3487  -7411        -1521        -7411      7407958 0        -1521        -7411      7407958     -1535822 0 
   11500000  +1                             -3718  -7298        -1752        -7298      7294496 0        -1752        -7298      7294496     -1766596 0 
   11600000  +1                             -3946  -7177        -1980        -7177      7173040 0        -1980        -7177      7173040     -1994354 0 
   11700000  +1                             -4169  -7050        -2203        -7050      7045594 0        -2203        -7050      7045594     -2217100 0 
   11800000  +1                             -4388  -6915        -2422        -6915      6910156 0        -2422        -6915      6910156     -2435830 0 
   11900000  +1                             -4604  -6774        -2638        -6774      6768724 0        -2638        -6774      6768724     -2651548 0 
   12000000  +1                             -4814  -6626        -2848        -6626      6620304 0        -2848        -6626      6620304     -2861252 0 
   12100000  +1                             -5020  -6472        -3054        -6472      6465892 0        -3054        -6472      6465892     -3066944 0 
   12200000  +1                             -5221  -6311        -3255        -6311      6304490 0        -3255        -6311      6304490     -3267622 0 
   12300000  +1                             -5416  -6144        -3450        -6144      6137100 0        -3450        -6144      6137100     -3462288 0 
   12400000  +1                             -5607  -5970        -3641        -5970      5962718 0        -3641        -5970      5962718     -3652940 0 
   12500000  +1                             -5791  -5791        -3825        -5791      5783350 0        -3825        -5791      5783350     -3836582 0 
   12600000  +1                             -5970  -5607        -4004        -5607      5598992 0        -4004        -5607      5598992     -4015214 0 
   12700000  +1                             -6144  -5416        -4178        -5416      5407644 0        -4178        -5416      5407644     -4188832 0 
   12800000  +1                             -6311  -5221        -4345        -5221      5212310 0        -4345        -5221      5212310     -4355442 0 
   12900000  +1                             -6472  -5020        -4506        -5020      5010988 0        -4506        -5020      5010988     -4516040 0 
   13000000  +1                             -6626  -4814        -4660        -4814      4804680 0        -4660        -4814      4804680     -4669628 0 
   13100000  +1                             -6774  -4604        -4808        -4604      4594384 0        -4808        -4604      4594384     -4817208 0 
   13200000  +1                             -6915  -4388        -4949        -4388      4378102 0        -4949        -4388      4378102     -4957776 0 
   13300000  +1                             -7050  -4169        -5084        -4169      4158832 0        -5084        -4169      4158832     -5092338 0 
   13400000  +1                             -7177  -3946        -5211        -3946      3935578 0        -5211        -3946      3935578     -5218892 0 
   13500000  +1                             -7298  -3718        -5332        -3718      3707336 0        -5332        -3718      3707336     -5339436 0 
   13600000  +1                             -7411  -3487        -5445        -3487      3476110 0        -5445        -3487      3476110     -5451974 0 
   13700000  +1                             -7517  -3253        -5551        -3253      3241898 0        -5551        -3253      3241898     -5557506 0 
   13800000  +1                             -7615  -3015        -5649        -3015      3003702 0        -5649        -3015      3003702     -5655030 0 
   13900000  +1                             -7706  -2774        -5740        -2774      2762520 0        -5740        -2774      2762520     -5745548 0 
   14000000  +1                             -7790  -2531        -5824        -2531      2519352 0        -5824        -2531      2519352     -5829062 0 
   14100000  +1                             -7865  -2285        -5899        -2285      2273202 0        -5899        -2285      2273202     -5903570 0 
   14200000  +1                             -7933  -2037        -5967        -2037      2025066 0        -5967        -2037      2025066     -5971074 0 
   14300000  +1                             -7993  -1786        -6027        -1786      1773946 0        -6027        -1786      1773946     -6030572 0 
   14400000  +1                             -8045  -1534        -6079        -1534      1521842 0        -6079        -1534      1521842     -6082068 0 
   14500000  +1                             -8090  -1281        -6124        -1281      1268752 0        -6124        -1281      1268752     -6126562 0 
   14600000  +1                             -8126  -1026        -6160        -1026      1013680 0        -6160        -1026      1013680     -6162052 0 
   14700000  +1                             -8154   -770        -6188         -770       757624 0        -6188         -770       757624     -6189540 0 
   14800000  +1                             -8174   -514        -6208         -514       501584 0        -6208         -514       501584     -6209028 0 
   14900000  +1                             -8186   -257        -6220         -257       244560 0        -6220         -257       244560     -6220514 0 
   15000000  +1                             -8191      0        -6225            0       -12450 0        -6225            0       -12450     -6225000 0 
   15000000  +2                             -8191      0        -6225            0       -12450 1        -6225            0       -12450     -6225000 1 
   15010000  +2                             -8191      0       -10157            0       -20314 1       -10157            0        20314     10157000 1 
   15100000  +1                             -8186    257       -10152          257      -277304 1       -10152          257       277304     10151486 1 
   15200000  +1                             -8174    514       -10140          514      -534280 1       -10140          514       534280     10138972 1 
   15300000  +1                             -8154    770       -10120          770      -790240 1       -10120          770       790240     10118460 1 
   15400000  +1                             -8126   1026       -10092         1026     -1046184 1       -10092         1026      1046184     10089948 1 
   15500000  +1                             -8090   1281       -10056         1281     -1301112 1       -10056         1281      1301112     10053438 1 
   15600000  +1                             -8045   1534       -10011         1534     -1554022 1       -10011         1534      1554022     10007932 1 
   15700000  +1                             -7993   1786        -9959         1786     -1805918 1        -9959         1786      1805918      9955428 1 
   15800000  +1                             -7933   2037        -9899         2037     -2056798 1        -9899         2037      2056798      9894926 1 
   15900000  +1                             -7865   2285        -9831         2285     -2304662 1        -9831         2285      2304662      9826430 1 
   16000000  +1                             -7790   2531        -9756         2531     -2550512 1        -9756         2531      2550512      9750938 1 
   16100000  +1                             -7706   2774        -9672         2774     -2793344 1        -9672         2774      2793344      9666452 1 
   16200000  +1                             -7615   3015        -9581         3015     -3034162 1        -9581         3015      3034162      9574970 1 
   16300000  +1                             -7517   3253        -9483         3253     -3271966 1        -9483         3253      3271966      9476494 1 
   16400000  +1                             -7411   3487        -9377         3487     -3505754 1        -9377         3487      3505754      9370026 1 
   16500000  +1                             -7298   3718        -9264         3718     -3736528 1        -9264         3718      3736528      9256564 1 
   16600000  +1                             -7177   3946        -9143         3946     -3964286 1        -9143         3946      3964286      9135108 1 
   16700000  +1                             -7050   4169        -9016         4169     -4187032 1        -9016         4169      4187032      9007662 1 
   16800000  +1                             -6915   4388        -8881         4388     -4405762 1        -8881         4388      4405762      8872224 1 
   16900000  +1                             -6774   4604        -8740         4604     -4621480 1        -8740         4604      4621480      8730792 1 
   17000000  +1                             -6626   4814        -8592         4814     -4831184 1        -8592         4814      4831184      8582372 1 
