         ps       /tb_hybrid_control/HC_inst/o_sigma        /tb_hybrid_control/HC_inst/vC_32      /tb_hybrid_control/HC_inst/stheta        /tb_hybrid_control/HC_inst/jump             /tb_hybrid_control/HC_inst/z12                                 
          delta             /tb_hybrid_control/HC_inst/i_vC              /tb_hybrid_control/HC_inst/iC_32          /tb_hybrid_control/HC_inst/z1          /tb_hybrid_control/HC_inst/jump_1         /tb_hybrid_control/HC_inst/z22                    
                                   /tb_hybrid_control/HC_inst/i_iC                   /tb_hybrid_control/HC_inst/ctheta          /tb_hybrid_control/HC_inst/z2          /tb_hybrid_control/HC_inst/jump_2                                              
                                             /tb_hybrid_control/HC_inst/i_theta                                                             /tb_hybrid_control/HC_inst/sigma                                                                          
                                                                                                                                                 /tb_hybrid_control/HC_inst/s2                                                                        
          0  +0                                  StX      x      x            x            x            x            x            x            x            x            x 1 0            x            x            x            x 
    5100000  +1                                  St0   8186   -257          314         8186         -257        -1000            2        10152         -257       277304 0 0       277304     10151486        10152         -257 
    5200000  +1                                  St0   8174   -514          314         8174         -514        -1000            2        10140         -514       534280 0 0       534280     10138972        10140         -514 
    5300000  +1                                  St0   8154   -770          314         8154         -770        -1000            2        10120         -770       790240 0 0       790240     10118460        10120         -770 
    5400000  +1                                  St0   8126  -1026          314         8126        -1026        -1000            2        10092        -1026      1046184 0 0      1046184     10089948        10092        -1026 
    5500000  +1                                  St0   8090  -1281          314         8090        -1281        -1000            2        10056        -1281      1301112 0 0      1301112     10053438        10056        -1281 
    5600000  +1                                  St0   8045  -1534          314         8045        -1534        -1000            2        10011        -1534      1554022 0 0      1554022     10007932        10011        -1534 
    5700000  +1                                  St0   7993  -1786          314         7993        -1786        -1000            2         9959        -1786      1805918 0 0      1805918      9955428         9959        -1786 
    5800000  +1                                  St0   7933  -2037          314         7933        -2037        -1000            2         9899        -2037      2056798 0 0      2056798      9894926         9899        -2037 
    5900000  +1                                  St0   7865  -2285          314         7865        -2285        -1000            2         9831        -2285      2304662 0 0      2304662      9826430         9831        -2285 
    6000000  +1                                  St0   7790  -2531          314         7790        -2531        -1000            2         9756        -2531      2550512 0 0      2550512      9750938         9756        -2531 
    6100000  +1                                  St0   7706  -2774          314         7706        -2774        -1000            2         9672        -2774      2793344 0 0      2793344      9666452         9672        -2774 
    6200000  +1                                  St0   7615  -3015          314         7615        -3015        -1000            2         9581        -3015      3034162 0 0      3034162      9574970         9581        -3015 
    6300000  +1                                  St0   7517  -3253          314         7517        -3253        -1000            2         9483        -3253      3271966 0 0      3271966      9476494         9483        -3253 
    6400000  +1                                  St0   7411  -3487          314         7411        -3487        -1000            2         9377        -3487      3505754 0 0      3505754      9370026         9377        -3487 
    6500000  +1                                  St0   7298  -3718          314         7298        -3718        -1000            2         9264        -3718      3736528 0 0      3736528      9256564         9264        -3718 
    6600000  +1                                  St0   7177  -3946          314         7177        -3946        -1000            2         9143        -3946      3964286 0 0      3964286      9135108         9143        -3946 
    6700000  +1                                  St0   7050  -4169          314         7050        -4169        -1000            2         9016        -4169      4187032 0 0      4187032      9007662         9016        -4169 
    6800000  +1                                  St0   6915  -4388          314         6915        -4388        -1000            2         8881        -4388      4405762 0 0      4405762      8872224         8881        -4388 
    6900000  +1                                  St0   6774  -4604          314         6774        -4604        -1000            2         8740        -4604      4621480 0 0      4621480      8730792         8740        -4604 
    7000000  +1                                  St0   6626  -4814          314         6626        -4814        -1000            2         8592        -4814      4831184 0 0      4831184      8582372         8592        -4814 
