         ps       /tb_hybrid_control/HC_inst/i_vC    /tb_hybrid_control/HC_inst/z2       /tb_hybrid_control/HC_half_inst/z2                                          
          delta          /tb_hybrid_control/HC_inst/i_iC        /tb_hybrid_control/HC_inst/jump   /tb_hybrid_control/HC_half_inst/jump_1                             
                                        /tb_hybrid_control/HC_inst/z1       /tb_hybrid_control/HC_half_inst/z1    /tb_hybrid_control/HC_half_inst/sigma              
                                                                 /tb_hybrid_control/HC_inst/sigma              /tb_hybrid_control/HC_half_inst/jump_2                
          0  +0                                 x      x            x            x            x 1            x            x            x            x 1 
   16600000  +1                             -4292  -1734        -6258        -1734     -3174492 1        -6258        -1734      3174492      5663916 1 
   16700000  +1                             -4340  -1510        -6306        -1510     -3367324 1        -6306        -1510      3367324      5540300 1 
   16800000  +1                             -4382  -1287        -6348        -1287     -3555222 1        -6348        -1287      3555222      5413128 1 
   16900000  +1                             -4418  -1066        -6384        -1066     -3737476 1        -6384        -1066      3737476      5283104 1 
   17000000  +1                             -4446   -845        -6412         -845     -3914098 1        -6412         -845      3914098      5147400 1 
   17100000  +1                             -4468   -626        -6434         -626     -4085076 1        -6434         -626      4085076      5008844 1 
   17200000  +1                             -4484   -408        -6450         -408     -4251120 1        -6450         -408      4251120      4866732 1 
   17300000  +1                             -4493   -192        -6459         -192     -4410816 1        -6459         -192      4410816      4721058 1 
   17400000  +1                             -4496     21        -6462           21     -4564158 1        -6462           21      4564158      4573236 1 
   17500000  +1                             -4492    233        -6458          233     -4711862 1        -6458          233      4711862      4421148 1 
   17600000  +1                             -4482    443        -6448          443     -4853922 1        -6448          443      4853922      4266208 1 
   17700000  +1                             -4465    650        -6431          650     -4988924 1        -6431          650      4988924      4108410 1 
   17800000  +1                             -4443    854        -6409          854     -5118276 1        -6409          854      5118276      3949174 1 
   17900000  +1                             -4414   1056        -6380         1056     -5241280 1        -6380         1056      5241280      3786376 1 
   18000000  +1                             -4379   1255        -6345         1255     -5357930 1        -6345         1255      5357930      3621430 1 
   18100000  +1                             -4339   1450        -6305         1450     -5468220 1        -6305         1450      5468220      3455750 1 
   18200000  +1                             -4292   1642        -6258         1642     -5571452 1        -6258         1642      5571452      3287212 1 
   18300000  +1                             -4240   1830        -6206         1830     -5668324 1        -6206         1830      5668324      3117940 1 
   18400000  +1                             -4182   2015        -6148         2015     -5758842 1        -6148         2015      5758842      2946520 1 
   18500000  +1                             -4119   2196        -6085         2196     -5843000 1        -6085         2196      5843000      2774366 1 
   18600000  +1                             -4051   2373        -6017         2373     -5920798 1        -6017         2373      5920798      2601478 1 
   18700000  +1                             -3977   2546        -5943         2546     -5991532 1        -5943         2546      5991532      2427146 1 
   18800000  +1                             -3898   2715        -5864         2715     -6055906 1        -5864         2715      6055906      2252080 1 
   18900000  +1                             -3814   2880        -5780         2880     -6113920 1        -5780         2880      6113920      2076280 1 
   19000000  +1                             -3725   3040        -5691         3040     -6164864 1        -5691         3040      6164864      1900450 1 
   19100000  +1                             -3632   3195        -5598         3195     -6209442 1        -5598         3195      6209442      1725300 1 
   19200000  +1                             -3533   3346        -5499         3346     -6246956 1        -5499         3346      6246956      1548706 1 
   19300000  +1                             -3431   3492        -5397         3492     -6278808 1        -5397         3492      6278808      1373502 1 
   19400000  +1                             -3324   3633        -5290         3633     -6303590 1        -5290         3633      6303590      1198268 1 
   19500000  +1                             -3213   3769        -5179         3769     -6322006 1        -5179         3769      6322006      1023714 1 
   19600000  +1                             -3098   3900        -5064         3900     -6334056 1        -5064         3900      6334056       849840 1 
   19700000  +1                             -2979   4026        -4945         4026     -6339740 1        -4945         4026      6339740       676646 1 
   19800000  +1                             -2856   4147        -4822         4147     -6339058 1        -4822         4147      6339058       504132 1 
   19900000  +1                             -2730   4262        -4696         4262     -6332004 1        -4696         4262      6332004       333712 1 
   20000000  +1                             -2601   4372        -4567         4372     -6319288 1        -4567         4372      6319288       164682 1 
   20100000  +1                             -2468   4477        -4434         4477     -6300206 1        -4434         4477      6300206        -3668 1 
   20200000  +1                             -2332   4576        -4298         4576     -6274752 1        -4298         4576      6274752      -169924 1 
   20300000  +1                             -2193   4670        -4159         4670     -6243636 1        -4159         4670      6243636      -334790 1 
   20400000  +1                             -2052   4758        -4018         4758     -6206852 1        -4018         4758      6206852      -496852 1 
   20500000  +1                             -1908   4841        -3874         4841     -6164406 1        -3874         4841      6164406      -657524 1 
   20600000  +1                             -1761   4918        -3727         4918     -6115588 1        -3727         4918      6115588      -816102 1 
   20700000  +1                             -1613   4990        -3579         4990     -6062516 1        -3579         4990      6062516      -971870 1 
   20800000  +1                             -1462   5056        -3428         5056     -6003072 1        -3428         5056      6003072     -1125544 1 
   20900000  +1                             -1309   5116        -3275         5116     -5937960 1        -3275         5116      5937960     -1276414 1 
   21000000  +1                             -1155   5171        -3121         5171     -5868594 1        -3121         5171      5868594     -1424474 1 
   21100000  +1                              -999   5220        -2965         5220     -5793560 1        -2965         5220      5793560     -1569730 1 
   21200000  +1                              -842   5263        -2808         5263     -5713562 1        -2808         5263      5713562     -1711472 1 
   21300000  +1                              -683   5301        -2649         5301     -5628606 1        -2649         5301      5628606     -1851114 1 
   21400000  +1                              -524   5333        -2490         5333     -5539390 1        -2490         5333      5539390     -1986532 1 
   21500000  +1                              -363   5359        -2329         5359     -5444506 1        -2329         5359      5444506     -2119146 1 
   21600000  +1                              -202   5380        -2168         5380     -5346072 1        -2168         5380      5346072     -2248240 1 
   21700000  +1                               -41   5396        -2007         5396     -5244088 1        -2007         5396      5244088     -2373814 1 
   21800000  +1                               120   5406        -1846         5406     -5137844 1        -1846         5406      5137844     -2495164 1 
   21900000  +1                               283   5411        -1683         5411     -5026642 1        -1683         5411      5026642     -2614414 1 
   22000000  +1                               445   5410        -1521         5410     -4911884 1        -1521         5410      4911884     -2728730 1 
   22100000  +1                               607   5404        -1359         5404     -4793576 1        -1359         5404      4793576     -2839526 1 
   22200000  +1                               769   5393        -1197         5393     -4671718 1        -1197         5393      4671718     -2946802 1 
   22300000  +1                               931   5376        -1035         5376     -4545600 1        -1035         5376      4545600     -3049854 1 
   22400000  +1                              1092   5355         -874         5355     -4417346 1         -874         5355      4417346     -3149380 1 
   22500000  +1                              1252   5328         -714         5328     -4285536 1         -714         5328      4285536     -3243972 1 
   22600000  +1                              1411   5296         -555         5296     -4150880 1         -555         5296      4150880     -3334334 1 
   22700000  +1                              1570   5260         -396         5260     -4013384 1         -396         5260      4013384     -3421880 1 
   22800000  +1                              1727   5218         -239         5218     -3873036 1         -239         5218      3873036     -3503782 1 
   22900000  +1                              1883   5172          -83         5172     -3730552 1          -83         5172      3730552     -3582158 1 
   23000000  +1                              2037   5121           71         5121     -3585926 1           71         5121      3585926     -3655594 1 
   23100000  +1                              2190   5066          224         5066     -3439164 1          224         5066      3439164     -3725504 1 
   23200000  +1                              2341   5006          375         5006     -3290260 1          375         5006      3290260     -3790474 1 
   23300000  +1                              2490   4942          524         4942     -3139924 1          524         4942      3139924     -3851208 1 
   23400000  +1                              2638   4874          672         4874     -2987452 1          672         4874      2987452     -3908416 1 
   23500000  +1                              2783   4801          817         4801     -2833542 1          817         4801      2833542     -3959974 1 
   23600000  +1                              2926   4725          960         4725     -2678910 1          960         4725      2678910     -4008000 1 
   23700000  +1                              3066   4644         1100         4644     -2522840 1         1100         4644      2522840     -4050376 1 
   23800000  +1                              3204   4560         1238         4560     -2366048 1         1238         4560      2366048     -4089220 1 
   23900000  +1                              3340   4472         1374         4472     -2207824 1         1374         4472      2207824     -4123828 1 
   24000000  +1                              3473   4381         1507         4381     -2049582 1         1507         4381      2049582     -4154194 1 
   24100000  +1                              3603   4286         1637         4286     -1890612 1         1637         4286      1890612     -4179614 1 
   24200000  +1                              3730   4188         1764         4188     -1731624 1         1764         4188      1731624     -4200792 1 
   24300000  +1                              3854   4086         1888         4086     -1571908 1         1888         4086      1571908     -4217024 1 
   24400000  +1                              3975   3982         2009         3982     -1412884 1         2009         3982      1412884     -4229718 1 
   24500000  +1                              4093   3875         2127         3875     -1253842 1         2127         3875      1253842     -4238170 1 
   24600000  +1                              4208   3765         2242         3765     -1094782 1         2242         3765      1094782     -4242380 1 
   24700000  +1                              4319   3652         2353         3652      -936408 1         2353         3652       936408     -4241638 1 
   24800000  +1                              4427   3537         2461         3537      -778726 1         2461         3537       778726     -4237358 1 
   24900000  +1                              4531   3420         2565         3420      -622440 1         2565         3420       622440     -4228830 1 
   25000000  +1                              4632   3300         2666         3300      -466136 1         2666         3300       466136     -4216060 1 
   25100000  +1                              4729   3179         2763         3179      -311938 1         2763         3179       311938     -4199746 1 
   25200000  +1                              4823   3055         2857         3055      -157722 1         2857         3055       157722     -4179190 1 
   25300000  +1                              4856   2996         2890         2996       -92600 1         2890         2996        92600     -4161084 1 
   25400000  +1                              4942   2741         2976         2741       148994 1         2976         2741      -148994     -4042624 1 
   25400000  +2                              4942   2741         2976         2741       148994 0         2976         2741      -148994     -4042624 0 
   25410000  +2                              4942   2741         6908         2741      2917122 0         6908         2741      2917122      6834344 0 
   25500000  +1                              5021   2486         6987         2486      3153788 0         6987         2486      3153788      6710914 0 
   25600000  +1                              5091   2230         7057         2230      3384828 0         7057         2230      3384828      6580390 0 
   25700000  +1                              5155   1976         7121         1976      3610224 0         7121         1976      3610224      6447014 0 
   25800000  +1                              5210   1721         7176         1721      3829994 0         7176         1721      3829994      6306544 0 
   25900000  +1                              5258   1468         7224         1468      4043416 0         7224         1468      4043416      6162512 0 
   26000000  +1                              5298   1215         7264         1215      4251206 0         7264         1215      4251206      6012800 0 
   26100000  +1                              5331    964         7297          964      4452648 0         7297          964      4452648      5859526 0 
   26200000  +1                              5356    715         7322          715      4647038 0         7322          715      4647038      5701980 0 
   26300000  +1                              5374    467         7340          467      4835790 0         7340          467      4835790      5540168 0 
   26400000  +1                              5384    221         7350          221      5017490 0         7350          221      5017490      5374084 0 
   26500000  +1                              5387    -22         7353          -22      5192132 0         7353          -22      5192132      5205142 0 
   26600000  +1                              5383   -263         7349         -263      5360426 0         7349         -263      5360426      5032638 0 
   26700000  +1                              5371   -501         7337         -501      5520958 0         7337         -501      5520958      4856566 0 
   26800000  +1                              5353   -737         7319         -737      5675846 0         7319         -737      5675846      4677642 0 
   26900000  +1                              5327   -970         7293         -970      5822972 0         7293         -970      5822972      4495150 0 
   27000000  +1                              5295  -1199         7261        -1199      5963034 0         7261        -1199      5963034      4311214 0 
   27100000  +1                              5255  -1425         7221        -1425      6095334 0         7221        -1425      6095334      4123710 0 
   27200000  +1                              5209  -1648         7175        -1648      6221280 0         7175        -1648      6221280      3934058 0 
   27300000  +1                              5156  -1866         7122        -1866      6338748 0         7122        -1866      6338748      3742956 0 
   27400000  +1                              5097  -2081         7063        -2081      6449862 0         7063        -2081      6449862      3549706 0 
   27500000  +1                              5031  -2291         6997        -2291      6552498 0         6997        -2291      6552498      3355006 0 
   27600000  +1                              4960  -2497         6926        -2497      6648774 0         6926        -2497      6648774      3159572 0 
   27700000  +1                              4882  -2699         6848        -2699      6737282 0         6848        -2699      6737282      2961984 0 
   27800000  +1                              4798  -2896         6764        -2896      6818016 0         6764        -2896      6818016      2763656 0 
